ours	corpus	label	fault	note
瀆	渎	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
賓	宾	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
當	当	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
闡	阐	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
館	馆	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
劇	剧	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
馬	马	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
鹵	卤	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
陽	阳	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
漢	汉	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
臨	临	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
龍	龙	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
無	无	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
蘭	兰	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
祿	禄	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
樂	乐	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
離	离	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
廣	广	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
開	开	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
陰	阴	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
緱	缑	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
鞏	巩	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
師	师	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
長	长	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
鄭	郑	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
豐	丰	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
藍	蓝	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
閬	阆	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
國	国	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
談	谈	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
溫	温	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
鐔	镡	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
臥	卧	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
進	进	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
隨	随	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
縫	缝	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
勝	胜	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
賁	贲	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
澤	泽	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
雙	双	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
連	连	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
韋	韦	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
蘇	苏	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
雲	云	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
嚴	严	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
烏	乌	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
鶉	鹑	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
靈	灵	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
張	张	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
倉	仓	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
厲	厉	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
顯	显	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
騎	骑	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
門	门	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
壽	寿	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
銅	铜	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
遠	远	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
茲	兹	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
鄔	邬	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
慮	虑	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
膚	肤	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
楨	桢	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
陸	陆	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
藺	蔺	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
過	过	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
駱	骆	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
鄉	乡	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
羅	罗	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
熒	荧	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
獲	获	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
蕩	荡	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
農	农	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
陝	陕	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
黽	黾	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
渾	浑	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
華	华	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
萬	万	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
晉	晋	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
陳	陈	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
錫	锡	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
墊	垫	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
綿	绵	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
資	资	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
關	关	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
紀	纪	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
隴	陇	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
親	亲	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
涇	泾	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
盤	盘	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
鸇	鹯	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
刪	删	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
驪	骊	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
輿	舆	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
薊	蓟	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
軍	军	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
東	东	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
漁	渔	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
獷	犷	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
終	终	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
鮮	鲜	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
蟬	蝉	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
駟	驷	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
鏤	镂	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
謝	谢	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
賀	贺	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
馮	冯	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
塵	尘	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
領	领	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
編	编	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
鬱	郁	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
壺	壶	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
彌	弥	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
穀	谷	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
會	会	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
聞	闻	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
涼	凉	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
帶	带	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
風	风	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
盧	卢	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
並	并	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
穀	谷	simp2trad	코퍼스(위키문헌 底本 간체)	코퍼스 쪽이 간체. 우리 번체가 원문 형태
慎	愼	variant	없음(양쪽 다 정당)	정자/이체자 관계. 어느 쪽도 오류 아님
衛	衞	variant	없음(양쪽 다 정당)	정자/이체자 관계. 어느 쪽도 오류 아님
吳	呉	variant	없음(양쪽 다 정당)	정자/이체자 관계. 어느 쪽도 오류 아님
恒	恆	variant	없음(양쪽 다 정당)	정자/이체자 관계. 어느 쪽도 오류 아님
高	髙	variant	없음(양쪽 다 정당)	정자/이체자 관계. 어느 쪽도 오류 아님
褒	襃	variant	없음(양쪽 다 정당)	정자/이체자 관계. 어느 쪽도 오류 아님
真	眞	variant	없음(양쪽 다 정당)	정자/이체자 관계. 어느 쪽도 오류 아님
昏	昬	variant	없음(양쪽 다 정당)	정자/이체자 관계. 어느 쪽도 오류 아님
鄉	鄕	variant	없음(양쪽 다 정당)	정자/이체자 관계. 어느 쪽도 오류 아님
榆	楡	variant	없음(양쪽 다 정당)	정자/이체자 관계. 어느 쪽도 오류 아님
即	卽	variant	없음(양쪽 다 정당)	정자/이체자 관계. 어느 쪽도 오류 아님
毗	毘	variant	없음(양쪽 다 정당)	정자/이체자 관계. 어느 쪽도 오류 아님
麊	麋	variant	없음(양쪽 다 정당)	정자/이체자 관계. 어느 쪽도 오류 아님
稿	稾	variant	없음(양쪽 다 정당)	정자/이체자 관계. 어느 쪽도 오류 아님
睪	睾	edition_diff	없음(底本 계통 차이)	ctext 底本(data/chgis-source/junguozhi)이 실제로 이 글자로 적는다. 우리 파서 오류가 아니다
啮	𨻻	edition_diff	없음(底本 계통 차이)	ctext 底本(data/chgis-source/junguozhi)이 실제로 이 글자로 적는다. 우리 파서 오류가 아니다
巿	市	edition_diff	없음(底本 계통 차이)	ctext 底本(data/chgis-source/junguozhi)이 실제로 이 글자로 적는다. 우리 파서 오류가 아니다
烫	𧦦	edition_diff	없음(底本 계통 차이)	ctext 底本(data/chgis-source/junguozhi)이 실제로 이 글자로 적는다. 우리 파서 오류가 아니다
〈	定	edition_diff	없음(底本 계통 차이)	ctext 底本(data/chgis-source/junguozhi)이 실제로 이 글자로 적는다. 우리 파서 오류가 아니다
禹	襄	reject	—	1글자 차이지만 서로 다른 縣이다. 매핑하면 안 된다
碭	焉	reject	—	1글자 차이지만 서로 다른 縣이다. 매핑하면 안 된다
西	鄲	reject	—	1글자 차이지만 서로 다른 縣이다. 매핑하면 안 된다
寧	苦	reject	—	1글자 차이지만 서로 다른 縣이다. 매핑하면 안 된다
魯	騶	reject	—	1글자 차이지만 서로 다른 縣이다. 매핑하면 안 된다
武	脩	reject	—	1글자 차이지만 서로 다른 縣이다. 매핑하면 안 된다
封	平	reject	—	1글자 차이지만 서로 다른 縣이다. 매핑하면 안 된다
堂	寧	reject	—	1글자 차이지만 서로 다른 縣이다. 매핑하면 안 된다
新	成	reject	—	1글자 차이지만 서로 다른 縣이다. 매핑하면 안 된다
南	皖	reject	—	1글자 차이지만 서로 다른 縣이다. 매핑하면 안 된다
郫	徙	reject	—	1글자 차이지만 서로 다른 縣이다. 매핑하면 안 된다
登	阐	reject	—	1글자 차이지만 서로 다른 縣이다. 매핑하면 안 된다
道	沮	reject	—	1글자 차이지만 서로 다른 縣이다. 매핑하면 안 된다
易	逎	reject	—	1글자 차이지만 서로 다른 縣이다. 매핑하면 안 된다
句	显	reject	—	1글자 차이지만 서로 다른 縣이다. 매핑하면 안 된다
城	郑	reject	—	1글자 차이지만 서로 다른 縣이다. 매핑하면 안 된다
城	鄕	reject	—	1글자 차이지만 서로 다른 縣이다. 매핑하면 안 된다
盧	合	reject	—	1글자 차이지만 서로 다른 縣이다. 매핑하면 안 된다
句	顯	reject	—	1글자 차이지만 서로 다른 縣이다. 매핑하면 안 된다
除	陰	reject	—	1글자 차이지만 서로 다른 縣이다. 매핑하면 안 된다
